,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
Reactive Energy Import counter (kvarh),0.0025888448746313924,0.032522368876485255,0.008223843308877621,-0.04740061417505196,-0.006177976443740468,-0.028292019492085863,-0.0920509966874146,0.2989565506401381,-0.10629031173723713,-0.1418613800244205,-0.12374889580921836,-0.032795387439437794,0.23618552391889575,0.10897456515719396,0.07132196578359341,0.06301345886644198,0.00016403561994816603,-0.16018027455396142,-0.038738673370824706,-0.02186888136902886,-0.011466475464481214,-0.010810795313673766,0.022820524275273268,-0.0030567147785592174,0.02358542400198531,-0.008067211967691591,0.002428411946360771,0.006341023526962598,-0.03856810885956706,0.022112548680923275,0.03787675481208165,-0.010082127712394055,-0.058984100669771805,0.021710077874951446,-0.045245186099885135,-0.047438895585212144,0.1188562802966536,-0.09336110548712412
Blade angle (pitch position) A (°),0.007915113103589479,0.15163511287318912,-0.15123359142316098,0.05817857632750819,-0.002225243252903245,0.04376353124870298,0.008007191667195027,-0.016515239247105244,-0.08205661398371192,0.056792645732564546,0.08299625919127679,0.12946706532358865,0.008057747095165392,0.014577501610808905,0.05790142669213921,0.062318960558578926,0.006873498537594092,0.027580953371773843,-0.019132369451708972,0.06590386267239429,-0.05203411315766724,0.03599559734102988,0.01816082945325713,0.07103405128245954,-0.0017412091538542666,0.029037053913233496,-0.006628060858921216,0.003460310469826894,0.02486087372397377,-0.01655171917008253,0.04643232324131841,0.014701008000228088,-0.08418336712902644,-0.08315995437490978,-0.07275795204956666,0.07332386589386025,0.04255937766850438,-0.08374537894138495
Blade angle (pitch position) B (°),0.0079451169866966,0.15166690995638982,-0.15122635696595793,0.05816463325658369,-0.0022186947626103974,0.0437882864253862,0.00796828840776112,-0.01650595691841094,-0.0821291451258841,0.05681736654082286,0.08305237480233589,0.1293693418542022,0.008046358371655968,0.014560868747400958,0.05784545884037545,0.062301112700773785,0.006873247275559332,0.027549092983935104,-0.019073438587392147,0.06587649332080736,-0.05207719745807501,0.036039449513659796,0.018190346626967856,0.07093493613140511,-0.0016077361234798915,0.029047449934251252,-0.006631354679722561,0.003589355542328067,0.024844171832216554,-0.0165007577773518,0.04641297129426007,0.014700685197696269,-0.08418258456069477,-0.08329881400433868,-0.07267857178428966,0.07333672549316857,0.04269602213157913,-0.08373250490416409
Blade angle (pitch position) C (°),0.007897289284790079,0.15164595986454202,-0.1512325123334761,0.05815805348715328,-0.0022260453065371744,0.04378138131068821,0.007970739064176243,-0.016507951050965634,-0.08215936999309167,0.05677154428840271,0.08314517388546425,0.1294919535761914,0.00806649492060781,0.014590471760026714,0.05783284294358981,0.06233834626725262,0.006880331839405293,0.027575468055382937,-0.019099742836471353,0.06590112142120844,-0.052046666155773094,0.036047011718345685,0.01822916193416392,0.07076353158852011,-0.0014632573304217238,0.02902972642217659,-0.006606618733368211,0.003652224004329078,0.02480732439399065,-0.01648777217586557,0.0463682422661697,0.014715171267733926,-0.08420797880512951,-0.08339805118851282,-0.07267370909083512,0.07333286142702221,0.042755176000900064,-0.08360042490626882
Yaw bearing angle (°),0.014007775019687741,-0.03325549536132794,0.04241007384261318,0.10663987866628401,0.023490953066064874,0.24574082209171647,0.2390512905626103,0.06249242751533263,-0.020265149060000626,0.003139576921754257,-0.05873720207301986,0.0014553539862776498,0.03996011776362285,0.03308186686052205,0.0246933580743131,-0.04051807512599684,-0.008117903015554689,0.01969466609904886,0.0014156919535030458,-0.000472252566416146,0.0318690362720905,-0.005996406567554008,-0.010655522342730372,-0.01151463597336402,0.026668836634154626,-0.015057795522658454,-0.001980932351887914,0.006711538739086077,-0.009722213497000476,0.0026894186304168045,0.003712558049335142,-0.0022197918213234134,0.0004772263187398252,-0.01325741456265558,0.006432015708666609,-0.02286503493797261,-0.021514686502552588,-0.00538527716972177
"Blade angle (pitch position) A, Max (°)",0.037309444273309116,0.16732303314059804,-0.09220229233104961,0.022010714695691973,-0.006490432170800368,0.03877866769271176,0.010683137600898188,0.07572889069748141,-0.1657700972847063,0.0313383234298229,0.130389212637778,-0.013130892137398218,-0.0564901761964742,-0.049840941029913766,-0.0802916834762925,0.09522866108446355,0.01057906574559586,-0.018992409689648222,-0.05399831282947206,-0.1196321136964986,0.09956144394846203,-0.04720866093931902,-0.020178522728368672,-0.10691043815719187,-0.015008004664143499,-0.03273121384649354,-0.011230937278025214,-0.022171882558918433,-0.004519283338208658,-0.017021449966031506,-0.017613401503521975,-0.004614214281665757,0.07825894958358759,0.05112397290012487,0.03608726036975854,5.8634814538403857e-05,-0.019173928863667165,0.018510996871166883
"Blade angle (pitch position) A, Min (°)",-0.01954591614966033,0.025349617435383845,-0.05591197739733807,0.03823278448977588,-0.002626463690321461,0.01781281643577656,-0.04591301190586113,0.00529041423725167,0.014548099718256489,-0.04267902810989587,-0.025343598916009298,0.5201619785306929,0.09145239770168662,-0.015097584441456128,-0.09419595964019993,-0.076466531684787,-0.00802316358283249,-0.03063843453057977,0.0338027950343916,-0.019752059388776857,-0.0012670128130169225,-0.0112909323833205,-0.0031050703357976203,0.011647207753618157,-0.007668184591502909,-0.010922829861229152,0.005296482276696032,0.0027279474274380325,-0.008353182585618547,-0.025560152263441136,-0.02994268039693102,-0.0003835025898687263,0.059915979140469006,-0.01293942530202502,0.038517789372934624,-0.03599092021799587,0.005058601893240278,0.03754155915181827
"Blade angle (pitch position) A, Standard deviation (°)",0.031482482760084085,0.17401295700935257,-0.09950783234823193,0.02333808637262867,-0.005480122642590758,0.03924269888057768,0.013954983735011747,0.0701866987230378,-0.16296651778020488,0.03551300613262197,0.12936283189736997,-0.03598541175494622,-0.05650837443476656,-0.039748440741438636,-0.05309121073555702,0.10584790022609286,0.01119445630511513,-0.010488751447274288,-0.05901132497874989,-0.08329326819380412,0.08664166154490177,-0.054719607928734565,-0.020701242210623316,-0.0843737308978196,-0.015182795696062918,-0.022663402449961616,-0.017999489781417584,-0.027700946417857527,-0.005626762652669377,-0.023879283399860937,-0.016111803246696952,-0.004517861518112552,0.0654243655495098,0.03765194588937468,0.016176355106516313,0.006747138657930729,-0.010754644170943083,0.004626583122071875
"Blade angle (pitch position) B, Max (°)",0.037326771072986334,0.16730884897439088,-0.09217921242089708,0.02202264834553523,-0.006487853875642273,0.03878007450737366,0.010650875365203498,0.07572244004100089,-0.16586512672637388,0.03135449843031151,0.1305044536248564,-0.013184306357158494,-0.05658460084546296,-0.04979661253639622,-0.08034545162145475,0.095173810064117,0.010567135048715943,-0.019023856375970174,-0.054091474557387935,-0.1196638605792208,0.09960876279118563,-0.0472424601637459,-0.020232273265468014,-0.10705553643505349,-0.014954259821516575,-0.032687061787439804,-0.011081481817435039,-0.022220564168095917,-0.0043167571327942505,-0.017007275115643115,-0.01753241510681837,-0.0046545293045970534,0.07828045431745641,0.05113938696481048,0.03602684058344964,0.00019989594167805352,-0.01889014996880275,0.018414716104487427
"Blade angle (pitch position) B, Min (°)",-0.019536211357813922,0.02531782971138802,-0.05587665602463152,0.03823305044707819,-0.00262188806214936,0.017826840696219325,-0.0459191141068131,0.005309771567369678,0.014583526276588607,-0.042742996366969196,-0.02527781274980763,0.5202379344205043,0.09138740213359382,-0.014995598075623602,-0.0943402442033287,-0.07637523709281405,-0.008009071749413992,-0.03086711247656003,0.03400291356056166,-0.01984579604149426,-0.001340880871031451,-0.011342792146911602,-0.003076260256503885,0.011809114201386684,-0.007640049020951666,-0.01096751999433726,0.0053045699045501105,0.002753529845306052,-0.008282296819565955,-0.025667173743951506,-0.02984691848138885,-0.00037829335721252066,0.06038366017719632,-0.013048551191159812,0.03855591983724544,-0.03614359414009172,0.004964421289748651,0.03733018218880723
"Blade angle (pitch position) B, Standard deviation (°)",0.031501544559778556,0.17399760943738582,-0.09950014143927709,0.02334397560626495,-0.00547237159827323,0.03924560595637769,0.013916427976773029,0.07017238553228795,-0.1630422813117647,0.035527128854770725,0.12945421649449754,-0.03601949897197266,-0.056546176950454455,-0.03972345925258891,-0.053154443954591665,0.10578786227230884,0.011187882549612158,-0.010499856610648431,-0.059056215055917356,-0.08331795413548553,0.086689394101758,-0.05472241146850953,-0.02071446829865093,-0.08449398669504496,-0.015062829219534377,-0.022663809496616526,-0.017871835139968234,-0.02768453516108832,-0.005529378305347762,-0.02385193838300914,-0.016045345488987495,-0.004535541550603515,0.06538848530413287,0.03760201790976993,0.016189297439587094,0.006829407584149509,-0.010563051769087941,0.004618963714387966
"Blade angle (pitch position) C, Max (°)",0.03732652642940001,0.16724257073305246,-0.0921866681053773,0.02201133649570646,-0.0064883227622185196,0.03877605335232008,0.010625057188832518,0.07572077466453371,-0.16587391146042454,0.031367172718954194,0.13063512150248155,-0.013174310095418964,-0.05658261954068064,-0.04977784141371414,-0.08039343543298444,0.09516417528767608,0.010571746767850946,-0.019058902878617463,-0.05409023282010486,-0.11974952109113339,0.09965044061767911,-0.04713808939219666,-0.0202694586655495,-0.10721010478282504,-0.014743518353995615,-0.03264683300587106,-0.010879155905201682,-0.022229610495886103,-0.004328546845127202,-0.017003303392884406,-0.01756324246901344,-0.004602654943178998,0.07820327338052145,0.05114105631903368,0.036028823487124106,0.0002480376186956221,-0.01888754728759633,0.018496354352886775
"Blade angle (pitch position) C, Min (°)",-0.01953224486212007,0.025295707166351867,-0.05586928432841044,0.03823527100757956,-0.0026173944331821333,0.017858779655123787,-0.045882130341405716,0.005348160784870024,0.014627717960421161,-0.0428303027189679,-0.025212946500916492,0.5201832405035407,0.09133993419911307,-0.014902676717429678,-0.09437002447183457,-0.07625169237996278,-0.007994793414831107,-0.03105392127599733,0.034095339106657185,-0.01986961181596285,-0.001383639700961406,-0.01139967465401338,-0.0030908845437411514,0.011813689027905288,-0.007605122272544409,-0.011009546936502454,0.005299635947114929,0.002777364088989766,-0.008177685703515566,-0.02581065833117386,-0.029781179109500282,-0.0003478863907448652,0.06058098668169539,-0.013082563021040113,0.038515010427852735,-0.03604261399887332,0.004890685457278613,0.037127300741079575
