,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
"Power factor (cosphi), Standard deviation",-0.04492824779630245,0.131390477451875,-0.07447186116386083,-0.04122427122132735,-0.02780183408449649,0.10927532168646543,-0.0307026351079344,-0.02320468306951418,-0.0020641818747103306,-0.09292929572870672,0.003320632690745521,0.1043863338662312,0.02044714700482774,0.10178830720575645,0.05874103546785503,0.2483147288851048,-0.22262409954337412,0.06490693700376736,-0.25038157584649035,-0.13044165626596796,0.021268090524526807,0.019812832496172102,-0.006228599437875047,0.08323846003321614,-0.15867206077028762,-0.1631506769279159,-0.12326286247755669,0.1567243536165526,-0.08636906438605246,-0.026534583018247508
Reactive power (kvar),-0.13440520960363286,-0.011949872913152807,0.012779277084978252,0.007574270749242504,0.024709219154462857,0.007914647629338136,0.014138728200110825,0.03383622347358296,-0.015080185768035366,0.02960914307468099,-0.0057846643230454456,-0.07688072994057778,-0.028405398944592028,0.005709952730373183,0.019652802692195027,-0.04627465364107423,0.012253709822604066,-0.01709837236649955,-0.05876016096186268,0.013689259319497517,-0.059816130548145253,0.015644283284719132,0.012115045492945967,0.022245561411653184,-0.04305958976229491,0.003503305740439556,-0.08444714697650242,-0.0717140756083183,-0.03432728849407037,-0.007361423810816316
"Reactive power, Max (kvar)",-0.13198970864287998,0.006447873842649923,0.018113422714425276,-0.006293963440270047,0.020240102813927727,0.03765627761779045,0.01291991097114711,0.0310434619587707,-0.008714298792392597,0.032215856648169276,-0.006991050971543978,-0.08959196608622612,-0.037809489007119904,0.004349444796969749,0.008079253081910735,-0.07151206260745796,0.02034286375194163,-0.022927271137241974,-0.07016048334581593,-0.0024093806930382475,-0.04725092825472429,0.011058812919276424,0.011618947573060468,0.02543206958494451,-0.02694822766858959,0.010036217912023838,-0.062168664546362835,-0.035174088136499096,-0.013037516469596569,0.004792256348646912
"Reactive power, Min (kvar)",-0.13323529597769562,-0.027123907699014255,0.007155888200900439,0.02017119545733724,0.02891897647746408,-0.020544811318842796,0.01497918025958815,0.0362867222401539,-0.020551132993892766,0.02469731941619054,-0.005357548227628406,-0.06268232689255415,-0.019804916760264604,0.0065269491021582955,0.027953826733684264,-0.023663496796769257,0.006086206266454113,-0.011273071351494867,-0.047851195650908326,0.027102134469691366,-0.07047714895503057,0.020056290085152764,0.013127218074765877,0.019705727520745415,-0.05437314407489583,-0.0006215586771528055,-0.09929541724282102,-0.1027733311579351,-0.051229926620055634,-0.018631802669053267
"Reactive power, Standard deviation (kvar)",0.08924340611022938,0.08328627654585137,0.01882409047488503,-0.06633117703726754,-0.03475652641379776,0.13156781829312775,-0.016759224129736457,-0.030735455148178957,0.04097486357062358,-0.0029384854739588568,-0.00039806020451120365,-0.017241806682396485,-0.027287947179795626,-0.0010054520906990832,-0.059993825351919466,-0.07877176466196129,0.022334191546573477,-0.016209004738281158,-0.014795025438836889,-0.08675152731480089,0.09869298971138,-0.03606837158409622,-0.015633224578788303,-0.005847513553269728,0.10646146812243347,0.01842359708581917,0.16165269339610736,0.22476158013026332,0.12345978971202579,0.06214053313276235
Front bearing temperature (°C),0.09603630667558222,-0.06209657555249984,0.13960463579095747,-0.04196087075116412,-0.010541309333982615,-0.011648353551729211,0.0017375612177169776,0.08712235513406436,-0.01511347280025386,-0.1109626617686482,-0.03159675928620852,-0.04514216545866496,0.07815264541509143,-0.17647537887015738,0.11104637874294694,0.03101431676906458,-0.030876919315393346,-0.00024087779215111078,-0.06580043987656095,0.018820247325380964,-0.06402598143304485,0.012282510383128002,0.00485835041381802,-0.03141021774998713,0.04014695686872652,-0.07772465101117791,0.00909419954573959,0.011791130806982748,-0.025424320430786077,0.006194772976694865
Rear bearing temperature (°C),0.06893610022584085,-0.047280528463415225,0.17682256970286808,-0.06335625327010996,-0.008840632002584269,-0.021451333209494373,0.011549404586014951,0.13499866059010018,0.008083753608279376,-0.13373434632179,-0.03624143046510951,-0.0583791831321617,0.08059712928897145,-0.18254988463146923,0.1162519285171529,0.061322204899456105,-0.049393221064653395,0.004715735349062176,-0.08139483461321292,0.006683642389463859,-0.0901260368085188,0.007719913864980265,0.003937607355984301,-0.020737031934441076,0.061082875250053015,-0.06006653933579981,0.057881312591294774,-0.015431463883340522,-0.02205265287919837,0.004592839959551932
Stator temperature 1 (°C),0.06365764295573376,0.08615285066005995,0.024302446110021737,0.01070966499219962,0.04479089274513058,-0.0970484120213347,0.015920363629327475,0.1016103333647971,-0.019904265203838048,-0.0953711781871514,-0.00991239191839468,0.2475493611845033,-0.021872617777673225,0.005507088158474061,-0.09706366570702049,-0.20108272796536963,0.11715127506549884,-0.06815749472670742,0.03445998414276668,0.020542070042564142,-0.09291363831172451,0.012146186331933082,0.005855528485893862,-0.05134932921744552,0.12265842727911004,-0.19037214340333303,-0.10206869634945344,0.14091384436000853,-0.18365521313376265,-0.03776702104928934
Nacelle ambient temperature (°C),-0.02007777906396067,0.18291465033983956,0.14134248370904995,-0.016761903309699355,0.05158550642691686,-0.07161424662998693,-0.01775215703162185,-0.11289534424121939,-0.0016462155628522933,0.06979609292457048,0.017194474977066113,-0.046246614224165976,-0.009175090010930245,0.009905473349117165,0.0739629155092627,0.019925100707825834,-0.04132642488395419,-0.0061920798795972246,-0.06240053793043205,0.05235964590311488,0.0753610291036478,-0.004332003878129457,-0.005000673997316842,-0.046357925102417326,-0.05537317732716716,0.07666232643004695,0.046671407939464615,-0.016153696371283076,0.1107198919300532,0.03632672517272813
Nacelle temperature (°C),-0.07049156489768059,0.1267467376991848,0.1548242508432461,-0.044482852670979706,0.051998306564304965,-0.06328686344889814,0.004219697517966469,0.008915087617418072,0.005179016749973799,0.01082480989526502,0.0125604421923364,-0.03641544377918363,0.03633269383932887,-0.04228009001966571,-0.111815886673587,0.03706931937032485,-0.10408610873842082,-0.003027429855120169,-0.06348642074378551,0.03290334532416652,0.020410498176364863,-0.00598306529781622,0.0007899827338543584,-0.003991371035034684,-0.03638420192107936,0.0720165222110826,0.06342405855266149,-0.06718741433409489,0.11501509151202516,-0.006828977651641576
Transformer temperature (°C),0.10586803057297399,0.0923036879388189,0.020740284695343333,0.04110145243931137,0.03578270271781753,-0.027685406039728667,-0.028117310109657574,-0.13098239158727115,-0.027896430911789383,0.047211517750485356,-0.0050679682281650415,0.013649736983975614,0.016390724102657156,-0.08578744689590785,0.06756672914562839,-0.07151827986675381,0.03176532667848367,-0.029902900915219896,-0.012429059267277637,0.10084744185216124,0.010337167969264476,0.016504479777686487,0.002451607178216953,-0.1286139667631471,0.006975037235405268,-0.13868730801865803,-0.0847983771874516,0.09964208470061509,-0.021248289770884603,-0.02717344909603708
