,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Potential power MPC (kW),0.13293559962058932,0.014077695837464542,-0.014878963273591835,0.05166280101994813,-0.0013873264039798614,-0.06730349565201249,-0.007908246550028374,0.0316342469867469,0.002518573524919097,-0.01918149324257173,0.012728832066984929,-0.055802044442628096,-0.00874923548425991,-0.0061743119749955375,-0.04307054461611138,0.01659212902310952,-0.006734532252389672,-0.023320679379956584,-0.009676315019948117,-0.006348859181071668,0.0017059321507134064,-0.00146640958790106,0.0049732180986748874,0.005660779584163293,-0.02613404662667695,0.03535066070479957,-0.0009644119526761933,-0.020477488348930074,-0.011896445416392086
Available Capacity for Production (kW),0.0005822983112168358,-0.0038145959193590685,0.003262802650340547,0.0010727024507045135,0.00012345654378458646,0.00014147492481252771,-0.0025054148824311213,0.010496785936201706,-0.012549553187810383,0.004882661208817695,-0.000218745089231083,0.016377554033297326,-0.011025189207539851,0.00461194237862577,-0.011118392032172447,0.03246833026217309,0.009107727885469204,-0.09535498591818423,-0.008621804679602774,0.5077018341445799,0.36120638136520306,0.7046097520202619,0.2971357700890348,-0.10827822691676914,-0.0070723715657418085,0.02064368936654959,0.03230885600240689,0.033665539150973145,0.015834151258817174
Power factor (cosphi),-0.09420704886210111,0.08035778326331361,-0.12266215098331276,-0.017652405525697634,0.011218611972683127,0.07293170824602146,-0.008022053729671949,0.10901766456876942,-0.008623822717492543,0.1650589769413472,-0.02030569515664226,0.015287605480552297,-0.020572465655586503,-0.004084250184129461,-0.015244271804236516,0.008735187371620561,-0.0031986565379555185,0.020812524025160546,0.03706594928334435,0.005622652897476129,-0.0418772973494803,-0.026801146613110033,0.10034217915419912,0.03333138467990558,-0.0671614818130669,-0.014799637353924599,0.026760697762159495,0.13161869454749142,0.15869443294404573
"Power factor (cosphi), Max",-0.08580684731240351,0.11235209720111282,-0.1009835421200225,-0.05006643607720202,0.0049425474277456655,0.12561423693698548,-0.018488490208967697,0.03128505657741674,-0.01560841491253906,0.07634245004302499,-0.0038618316318876377,-0.014336969729606758,-0.0250354244818028,0.004380461646640269,-0.06948072387002849,0.019372961517128685,-0.013897124018851924,0.021319301931441815,0.034784792143671694,-0.018555506234085403,-0.056364657572714326,-0.042185059112850955,0.11544205568007004,0.019359791001542517,-0.1156892111501076,0.032174477469736396,0.1095848642545578,0.23304217641621375,0.12161655824966262
"Power factor (cosphi), Min",-0.08849091084775454,0.025984750808951476,-0.11834778721196337,0.024023959390579653,0.01661362082930006,-0.0062144656268892685,0.012400527529049792,0.16979307420405698,0.018826990911587675,0.20164874702378302,-0.032277221494411076,0.029770922655664944,-0.007446417824294616,-0.01622634074646306,0.0813257070431171,-0.012982313555266484,0.007558627546889964,0.021015805105504264,0.017722153349952627,0.02932968804367599,-0.008563968518575424,-0.006697805575812156,0.014271646053343488,0.024021648670389563,0.03439093517336624,-0.10178247378439491,-0.11046725174821033,-0.09076346424114953,0.15360224143250312
"Power factor (cosphi), Standard deviation",-0.06742639707909846,0.12472060055932697,-0.0764978993139332,-0.06641903915856247,0.000159638600621999,0.15030645803341408,-0.028187926987856923,-0.02546315369648899,-0.02093073512973692,0.007860323938419808,0.010312669511323213,-0.033709651762696774,-0.02486541570679173,0.012893029226393541,-0.1283033564275646,0.029050669703577905,-0.02210449776497138,0.016591306805393672,0.036034745863091425,-0.028525211268676038,-0.0663594155712191,-0.042654207437433984,0.15029572182242654,0.015249941014024375,-0.16409956309390736,0.08680708523840834,0.181483041482271,0.3493345868408726,0.0860068391144564
Reactive power (kvar),-0.1305248005406272,-0.023165104923051877,0.016195144687576952,0.010137129955992667,-0.0020656266481727126,-0.03880822678527356,0.0144114085645852,-0.023006060784827198,0.05398427284844488,-0.1086510807715171,0.0167426280457835,-0.03971932614219907,-0.0072786367472137785,0.018639370820096448,-0.01854828693531803,0.025829062732885325,-0.00745672862932086,-0.0972300005759566,0.004745011145337475,0.008994000028890111,-0.003009004550407074,-0.012216733667745564,-0.024835477176420727,-0.006957926948230084,-0.026589673871368236,0.05976264016144774,0.0301089173731657,0.021840293318828488,-0.1240765846802491
"Reactive power, Max (kvar)",-0.12757633114794076,-0.008172583300895214,0.02205190610962348,0.0003829296859109163,-0.005168900333561639,-0.01458922192109115,0.01323489788170958,-0.01659850795314666,0.06860977565979484,-0.1307010697587256,0.020917168447349036,-0.061386318103662976,-0.005976059559824175,0.015642719406005375,-0.02092725115525951,0.03427712409243574,-0.005987074613809717,-0.1283396918337858,-0.013448565883270936,0.0027263368062780246,0.0012882570382720198,-0.01478073514263722,-0.0320671892839646,-0.00010801437473574593,-0.018753911578584668,0.07050076083282114,0.02720967832766613,0.018885145670159503,-0.058483840230039955
"Reactive power, Min (kvar)",-0.13008950147055967,-0.03391657746111052,0.008760357035361746,0.01950669588123218,0.0009695600899469745,-0.061390308220154344,0.01524636198166343,-0.029780837724816923,0.04047232786009175,-0.08703064640553802,0.013278982815636541,-0.02365957725759055,-0.0076542905545272195,0.020975595432352712,-0.01454874219740753,0.0164112623697761,-0.00824556038751677,-0.06760768865568127,0.02104805221947094,0.015169164049305562,-0.008154317715764607,-0.011696967145284547,-0.019645502367842835,-0.013714505716573722,-0.03254470802007376,0.04828536512277159,0.030181501387796104,0.020047802408538363,-0.18214261446054947
"Reactive power, Standard deviation (kvar)",0.0894199117743692,0.07698581315111276,0.024624029505996667,-0.05367309744612145,-0.012437316374188538,0.1418352652879867,-0.016725101048621134,0.04544846753913504,0.039617444871576986,-0.040861173045132024,0.008345591136569925,-0.07524321115641011,0.00870227145400728,-0.02595895421926227,-0.004251165101001729,0.030640656054871807,0.008163398735362653,-0.09637196606123749,-0.09012355167788191,-0.03161477630669474,0.028477524821939063,0.0025782171856418594,-0.015717996552139443,0.0430143751663974,0.05258109845352016,0.007157266096886158,-0.03660950512624861,-0.027860276336119885,0.40257863407041333
