GeneratorSpeed,Power,PredictedPower
1491.7379,658.8857,680.0727030172824
1411.4447,552.442,575.3027292331486
1269.1486,381.06992,407.16948074357197
1529.0532,700.2079,731.3608574621289
1017.2041,175.69742,129.26732787949572
1062.1235,194.29266,174.47826950577797
1676.3905,947.9479,1022.9168288952728
964.45715,74.855316,98.83225351403553
1789.0076,1287.7446,1316.4411995414116
1578.9645,817.4476,809.6369943863256
1776.9279,1445.8247,1289.4982155677135
978.09906,102.24264,103.65367071903984
989.1324,111.92255,109.21457622952971
1033.5156,156.80875,144.175783507088
1113.4363,242.64413,235.43072923411398
1068.7146,200.83823,181.99997408718355
1743.9001,1109.7338,1206.3760527532727
993.72955,131.16441,111.94303080726229
962.7866,93.93771,98.40570751932967
1088.186,223.93318,204.938351845809
1347.3562,477.95062,494.9501390264911
992.471,149.31953,111.17285337234341
1267.4647,397.5588,405.3960265603805
1192.9854,301.1421,327.2385360724865
1744.4615,1368.8843,1207.872365056896
1602.9114,836.9402,853.7507337972372
1767.7432,1509.4331,1267.5892873000103
1714.4802,1318.9376,1126.0989936881247
1300.7562,426.34244,441.2073127997173
1360.9485,493.06827,511.4788789278358
1325.1864,438.27753,468.80075343308175
1284.5122,401.01184,423.515614686092
963.0237,50.611618,98.46401681335055
1676.223,955.44336,1022.4782232426602
1325.2207,434.05518,468.8403933569701
1600.5854,849.4676,849.238067591861
989.83105,110.69705,109.61407969266918
1320.2125,434.7594,463.0796145486295
962.62134,72.67533,98.36550309116171
1550.3888,741.6065,762.9794949167454
1075.7382,210.83058,190.1693625963535
1319.8942,442.77844,462.7153261613744
1004.6878,149.25226,119.35763053656854
1332.3384,441.16345,477.121585080508
1662.2644,926.1476,986.6347801310446
1534.835,747.25104,739.7134247577642
1759.2274,1268.5988,1246.3530779937819
1252.1663,366.39508,389.3985710834263
1079.1041,212.2354,194.13116209350682
1472.4574,612.79956,654.6079805930844
1776.7535,1197.8522,1289.0929144856623
1051.8794,191.07652,163.1344232048014
1573.4272,806.29297,800.1323947183557
1051.8466,185.09134,163.09887684943186
1154.3685,278.6102,284.0593238992207
970.0883,104.39752,100.53698014290592
1606.3256,834.02765,860.4676895859201
1287.2256,405.12006,426.43861884684327
1463.5142,616.03406,642.9017063206355
1004.44244,147.5039,119.17818520502067
1049.8177,189.6194,160.91060730987618
1728.7014,1432.9591,1165.2302027897258
1503.0886,658.45135,695.3059427866815
1188.0934,308.24265,321.9255818920361
1508.8893,675.8478,703.1925376545606
1732.5336,1317.6144,1175.7001947078875
1266.6458,374.74973,404.5346628079693
1497.7087,659.36426,688.0565833840009
1406.8322,544.1989,569.3652380014581
1686.38,1037.7046,1049.3880833371181
1450.9001,600.15375,626.4520342259543
1245.4523,360.83246,382.42034760999684
1072.5497,209.94072,186.44307342979602
1699.0946,1202.5344,1083.8108988642693
1614.9292,868.99066,877.8934409990923
1105.5089,232.19606,225.83358325607782
1094.2198,228.96703,212.18850229568716
1227.5758,338.70316,363.8483751081035
1658.4303,923.2467,977.056236600501
1182.1028,299.99744,315.3609487100136
991.414,129.00366,110.5394578344218
1653.4008,918.1312,964.681441831314
1100.1451,230.77747,219.34220987788223
1445.8387,590.3684,619.8655811430507
1413.102,548.4981,577.439251036901
1387.0706,520.414,544.1199526854666
1512.1631,702.3761,707.6803797802204
1268.7455,381.57425,406.7446624478936
1252.7465,360.10315,390.0024106911801
976.24457,85.34781,102.86142620372152
1144.1057,276.98877,272.0981072011507
1388.5239,514.23706,545.9634075824415
1419.795,561.6028,586.0821244129811
1047.5793,179.55,158.52110483159157
1220.601,328.99707,356.568069640069
1299.4674,429.59695,439.78585592941454
965.5238,108.4854,99.12369070428849
1527.7194,702.52765,729.4537972701212
1021.26984,163.27208,132.7864279145865
1144.1232,264.69186,272.1186637446645
985.7912,84.03264,107.38061431311917
1734.8167,1135.88,1181.9121742823045
964.48645,107.82073,98.84006086124396
1260.095,381.47278,397.6671306208984
1544.173,743.47797,753.529930506673
1429.396,578.32904,598.5130213514275
1027.1539,174.7589,138.11745239288416
963.5735,90.875206,98.60206992702001
1626.324,931.6819,902.0925763709531
1120.6527,246.70805,244.1466333545859
1142.3452,261.51486,270.0274622787864
1121.415,253.92361,245.06525408232426
963.072,93.1736,98.4759857204964
1453.5221,590.22205,629.8668444667433
1007.2411,159.987,121.2599817288251
1077.9521,197.05318,192.77216776055684
1670.1382,1047.7153,1006.6757423392698
1029.2133,178.9168,140.0463856050061
1177.491,295.6363,310.261195627299
1219.1772,336.91315,355.07745890584124
1553.5247,750.1498,767.8312812450932
1394.5878,530.1168,553.6800406467064
1568.9858,794.5323,792.6807293573532
969.26154,122.25869,100.2611721786011
1114.6666,243.8414,236.91872997166615
1044.129,191.77516,154.89136575767202
1549.0922,844.84827,760.990377783882
1079.6011,215.76683,194.71839380721957
1466.385,626.7947,646.6545542163312
1405.4495,545.91205,567.5880746389861
1368.8091,492.93164,521.1912025303969
1072.8092,210.59642,186.74529563188702
1148.3125,268.87534,277.02427486224144
1737.4636,1114.383,1189.0855852479567
1600.8828,876.2951,849.8122090318948
1447.3381,586.45844,621.8160696705226
1581.8608,784.53815,814.7069680470223
1509.5675,698.2231,704.119929416725
1565.801,760.0335,787.4274530457818
1307.3813,465.8591,448.56657076814713
1212.7225,356.1246,348.29620321764116
1019.9846,127.28551,131.65901194733306
1336.3384,485.73163,481.8235870586411
1600.1404,821.0729,848.3805296573954
1166.0994,285.58508,297.4853641481764
1054.9652,195.75677,166.50191373553724
1607.5555,862.2446,862.9147153976166
1549.4044,726.00146,761.4684361505329
1747.001,1401.9224,1214.6143531427329
1067.2318,202.0129,180.29455268371765
1204.8489,319.3972,339.9611807366353
1446.058,585.2263,620.1508212671706
1545.234,741.0461,755.1278131846849
1044.7622,187.74084,155.55247742069207
1663.1499,947.50507,988.8642306014071
1510.3188,733.06335,705.1486663781842
1555.1195,752.746,770.3216124342224
1415.3988,550.53143,580.4026760726157
1051.35,194.42984,162.56134991300502
1129.0916,253.68738,254.28517600263734
1529.5321,715.04913,732.0473334692437
1667.2852,932.74976,999.3586258821713
1075.318,207.822,189.6767341612058
1314.0344,429.49866,456.04796819236253
1028.0374,176.0778,138.9410976812187
1691.2926,1052.3789,1062.6059893836423
1526.1998,705.67175,727.2896143170794
1675.166,1051.0493,1019.7147427002046
1424.1262,553.44714,591.6857848202982
1726.1349,1178.519,1158.1934253460468
1014.69763,166.877,127.16838726738524
973.4751,111.62434,101.75712906023159
1061.6389,198.46004,173.93157228457716
1764.3169,1145.2383,1259.1429982986965
1589.6351,794.4363,828.6660059697205
1445.5374,600.9397,619.4737044799915
1254.7435,363.23764,392.08207907267894
1569.9828,810.25824,794.3405437892461
1748.4542,1240.7018,1218.451726928342
1605.5042,929.4608,858.841520719938
1530.5778,706.0434,733.5495558330698
980.09845,115.50142,104.55462962030742
964.6677,45.060143,98.88860633158697
1243.6967,359.2559,380.59757507730814
1278.0742,387.43237,416.62627176863543
988.928,133.50343,109.09873533512496
1467.589,660.8752,648.2297602253781
1194.5204,308.64804,328.89717843222644
1458.6532,614.793,636.5557420392728
1217.6904,326.87256,353.51900994293896
1704.41,1182.3168,1098.3713511785463
1692.8724,994.1229,1066.8803643511906
1445.0707,585.7441,618.8667499162653
1251.7537,360.4617,388.9692556470318
1541.4979,774.59576,749.527519263989
964.1793,79.93607,98.75877456444618
964.15454,70.311295,98.75227562795305
1351.5,466.1017,499.95140054884627
1633.8743,873.50433,918.83449510165
1442.577,613.045,615.6245402551699
1216.0999,329.31934,351.84959806869904
1347.5573,470.62354,495.19205879710626
964.5515,126.44565,98.85743431743322
1282.1359,391.2087,420.9654222999161
